书名,图书链接,评分,评价,作者,出版社,出品方,原作名,译者,出版年,页数,定价,装帧,丛书,ISBN
红楼梦,https://book.douban.com/subject/1007305/,9.6,都云作者痴，谁解其中味？,[清]曹雪芹著/高鹗续,人民文学出版社,,,,1996年12月,1606,59.70元,平装,中国古典文学读本丛书,9787020002207 
活着,https://book.douban.com/subject/4913064/,9.4,生的苦难与伟大,余华,作家出版社,,,,2012年8月,191,20.00元,平装,余华作品（2012版）,9787506365437 
1984,https://book.douban.com/subject/4820710/,9.3,栗树荫下，我出卖你，你出卖我,[英]乔治·奥威尔,北京十月文艺出版社,新经典文化,NineteenEighty-Four,刘绍铭,2010年4月,304,28,精装,新经典文库：桂冠文丛,9787530210291 
百年孤独,https://book.douban.com/subject/6082808/,9.2,魔幻现实主义文学代表作,[哥伦比亚]加西亚·马尔克斯,南海出版公司,新经典文化,Cienañosdesoledad,范晔,2011年6月,360,39.50元,精装,新经典文库：加西亚·马尔克斯作品,9787544253994 
飘,https://book.douban.com/subject/1068920/,9.3,革命时期的爱情，随风而逝,[美]玛格丽特·米切尔,译林出版社,,GonewiththeWind,李美华,2000年9月,1235,40.00元,精装,,9787806570920 
三体全集,https://book.douban.com/subject/6518605/,9.4,地球往事三部曲,刘慈欣,重庆出版社,科幻世界,,,2012年1月,1285,168.00元,精装,科幻世界·中国科幻基石丛书,9787229042066 
三国演义（全二册）,https://book.douban.com/subject/1019568/,9.3,是非成败转头空,罗贯中,人民文学出版社,,,,1998年5月,990,39.50元,平装,中国古典文学读本丛书,9787020008728 
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,9.2,向死而生的文学绝唱,林奕含,北京联合出版公司,磨铁图书,,,2018年1月,272,45.00元,平装,,9787559614636 
白夜行,https://book.douban.com/subject/10554308/,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事,[日]东野圭吾,南海出版公司,新经典文化,,刘姿君,2013年1月,538,39.50元,精装,新经典文库·东野圭吾作品,9787544258609 
动物农场,https://book.douban.com/subject/2035179/,9.2,太阳底下并无新事,[英]乔治·奥威尔,上海译文出版社,,AnimalFarm,荣如德,2007年3月,119,10.00元,平装,译文名著文库,9787532741854 
